"asm_source","external_ip","first_seen_external","nt_host",service
"external_asm_scan","52.66.106.221","2026-04-17","tscsrvwdef-4qaovdur","https/443"
"external_asm_scan","52.62.182.137","2026-07-10","se-001","https/443"
"external_asm_scan","52.26.146.101","2026-04-17","coredev-004","https/443"
"external_asm_scan","52.66.146.221","2026-04-17","tscsrvwdef-9n5qhmxo","https/443"
"external_asm_scan","52.50.50.125","2026-07-22","tscsrvwdef-pr4a7z5e","https/443"
"external_asm_scan","52.54.54.209","2026-04-29","tscsrvwdef-wsiaoyo2","https/443"
"external_asm_scan","52.46.126.41","2026-06-16","acme-001","https/443"
"external_asm_scan","52.70.110.65","2026-05-23","tscsrvwdef-1jzjskrs","https/443"
"external_asm_scan","52.38.118.113","2026-04-05","tscsrvwdef-3hnsgevw","https/443"
"external_asm_scan","52.10.130.5","2026-07-22","tscsrvwdef-ka30bjqv","https/443"
"external_asm_scan","52.58.18.53","2026-06-04","tscsrvwdef-bun88g2z","https/443"
"external_asm_scan","52.26.106.101","2026-04-17","tscsrvwdef-g6yxgs2v","https/443"
"external_asm_scan","52.66.146.221","2026-04-17","tscsrvwdef-7y8nuu2u","https/443"
"external_asm_scan","52.26.146.101","2026-04-17","tscsrvwdef-q9g7rh90","https/443"
"external_asm_scan","52.18.178.173","2026-06-04","tscsrvwdef-pwp7zvdo","https/443"
"external_asm_scan","52.14.54.89","2026-04-29","tscsrvwdef-9jjp5h3x","https/443"
"external_asm_scan","52.74.154.149","2026-06-28","se-003","https/443"
"external_asm_scan","52.38.198.113","2026-04-05",host0201,"https/443"
"external_asm_scan","52.42.82.197","2026-05-11","tscsrvwdef-5wbn6q9b","https/443"
"external_asm_scan","52.70.30.65","2026-05-23","tscsrvwdef-1bhffut9","https/443"
"external_asm_scan","52.46.126.41","2026-06-16","tscsrvwdef-3pvhfdxf","https/443"
"external_asm_scan","52.18.58.173","2026-06-04","tscsrvwdef-b3tner8y","https/443"
"external_asm_scan","52.18.98.173","2026-06-04","prod-mfs-001","https/443"
"external_asm_scan","52.10.130.5","2026-07-22","tscsrvwdef-6g2wh6zc","https/443"
"external_asm_scan","52.14.54.89","2026-04-29","tscsrvwdef-oaqh4gvh","https/443"
"external_asm_scan","52.42.42.197","2026-05-11","tscsrvwdef-o4ks2nc1","https/443"
"external_asm_scan","52.46.166.41","2026-06-16","tscsrvwdef-risqqj6a","https/443"
"external_asm_scan","52.66.146.221","2026-04-17","tscsrvwdef-8m2ngep4","https/443"
"external_asm_scan","52.86.126.161","2026-06-16","tscsrvwdef-ntqxufa9","https/443"
"external_asm_scan","52.18.98.173","2026-06-04","tscsrvwdef-4k7uu01p","https/443"
"external_asm_scan","52.62.182.137","2026-07-10","tscsrvwdef-c6xew07a","https/443"
"external_asm_scan","52.62.22.137","2026-07-10","tscsrvwdef-7u07v4x4","https/443"
"external_asm_scan","52.82.82.77","2026-05-11","tscsrvwdef-rkinbnw3","https/443"
